<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 ID for IMF spacecraft
 2 ID for SW Plasma spacecraft
 3 # of points in IMF averages 
 4 # of points in Plasma averages
 5 Percent of Interpolation
 6 Timeshift
 7 RMS, Timeshift
 8 RMS Min_var
 9 Time btwn observations,sec
10 Field magnitude average, nT
11 BX, nT (GSE, GSM)
12 BY, nT (GSE)
13 BZ, nT (GSE)
14 BY, nT (GSM)
15 BZ, nT (GSM)
16 RMS SD B scalar, nT
17 RMS SD field vector, nT
18 Speed, km/s
19 Vx Velocity,km/s
20 Vy Velocity, km/s
21 Vz Velocity, km/s
22 Proton Density, n/cc
23 Proton Temperature, K
24 Flow pressure, nPa
25 Electric field, mV/m 
26 Plasma beta
27 Alfven mach number
28 S/C, Xgse,Re
29 S/C, Ygse,Re
30 S/c, Zgse,Re
31 BSN location, Xgse,Re
32 BSN location, Ygse,Re
33 BSN location, Zgse,Re
34 AE-index, nT
35 AL-index, nT
36 AU-index, nT
37 SYM/D, nT
38 SYM/H, nT
39 ASY/D, nT
40 ASY/H, nT
41 PCN-index
42 Magnetosonic Mach number

YYYY DOY HR MN  1  2  3   4   5      6      7     8      9      10      11      12      13      14      15      16      17      18      19      20      21     22       23    24     25     26    27      28      29      30      31      32      33    34    35    36    37    38    39    40     41   42 
1981  35 11 15 50 99   1 999   0   -847      0  0.00 999999    3.97    1.74   -2.61    0.74   -2.67    0.48    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.11   -0.66    0.61    49   -13    36     1    -4    18    11   0.21 99.9
1981  36  2 31 50 50   5   1   0    659      7  0.01 999999    5.48    4.94    2.33    0.04    2.10    1.01    0.03    0.27   373.6  -373.2   -13.7    10.4   5.00  149245.  1.40  -0.38   1.92   7.6   -6.43  -37.41   -3.96   14.09   -0.55   -0.34    96   -44    51     2    -7     8    17   0.82  4.7
1981  36  2 32 50 50   3   1   0    661      6  0.00     58    5.47    4.90    2.41   -0.25    2.29    0.78    0.01    0.17   373.6  -373.2   -13.7    10.4   5.00  149245.  1.40  -0.29   1.93   7.6   -6.43  -37.41   -3.96   14.12   -0.47   -0.45   124   -78    45     2    -7     7    18   0.88  4.7
1981  36  2 33 50 50   6   2   0    679     10  0.02     42    5.48    5.01    2.11   -0.47    2.11    0.45    0.03    0.34   369.9  -368.9   -23.8    14.0   4.39   79321.  1.20  -0.17   1.26   7.1   -6.42  -37.41   -3.97   14.24   -0.32   -0.45   142  -102    39     2    -7     9    18   0.93  4.9
1981  36  2 34 50 50   5   1   0    664      4  0.01     75    5.50    4.84    2.50   -0.61    2.53    0.48    0.04    0.12   371.0  -370.5   -18.1     7.8   4.47   77109.  1.23  -0.18   1.26   7.1   -6.41  -37.42   -3.97   14.10   -0.46   -0.38   206  -168    38     2    -7     8    18   1.05  4.9
1981  36  2 35 50 50   5   1   0    673      0  0.01     50    5.47    4.68    2.79    0.06    2.51    1.21    0.02    0.33   372.9  -372.3   -16.9    13.0   5.00  128063.  1.39  -0.45   1.78   7.6   -6.40  -37.42   -3.98   14.05   -0.49   -0.48   187  -145    41     2    -8     8    17   1.10  4.8
1981  36  2 36 50 99   4 999   0    685      4  0.02     47    5.51    4.57    3.03   -0.16    2.82    1.11    0.03    0.38 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.03   -0.49   -0.47   147   -99    47     2    -8     9    17   1.06 99.9
1981  36  2 37 50 99   4 999   0    698      3  0.02     46    5.53    4.59    3.06   -0.12    2.84    1.16    0.05    0.28 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.05   -0.49   -0.45   141   -87    54     2    -8     8    16   1.02 99.9
1981  36  2 38 50 99  10 999   0    648     46  0.04    110    5.52    4.53    3.03    0.61    2.51    1.81    0.07    0.56 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.11   -0.49   -0.41   119   -62    57     2    -8     7    16   1.03 99.9
1981  36  2 39 50 99   5 999   0    606     54  0.07    102    5.56    4.37    3.17    1.23    2.38    2.43    0.03    0.43 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.14   -0.49   -0.37   111   -55    56     2    -8     7    16   0.98 99.9
