<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 Day
 2 Hour
 3 Minute
 4 ID for IMF spacecraft
 5 ID for SW Plasma spacecraft
 6 # of points in IMF averages 
 7 # of points in Plasma averages
 8 Percent of Interpolation
 9 Timeshift
10 RMS, Timeshift
11 RMS Min_var
12 Time btwn observations,sec
13 Field magnitude average, nT
14 BX, nT (GSE, GSM)
15 BY, nT (GSE)
16 BZ, nT (GSE)
17 BY, nT (GSM)
18 BZ, nT (GSM)
19 RMS SD B scalar, nT
20 RMS SD field vector, nT
21 Speed, km/s
22 Vx Velocity,km/s
23 Vy Velocity, km/s
24 Vz Velocity, km/s
25 Proton Density, n/cc
26 Proton Temperature, K
27 Flow pressure, nPa
28 Electric field, mV/m 
29 Plasma beta
30 Alfven mach number
31 S/C, Xgse,Re
32 S/C, Ygse,Re
33 S/c, Zgse,Re
34 BSN location, Xgse,Re
35 BSN location, Ygse,Re
36 BSN location, Zgse,Re
37 AE-index, nT

YYYY DOY HR MN  1   2  3  4  5  6   7   8      9     10    11     12      13      14      15      16      17      18      19      20      21      22      23      24     25       26    27     28     29    30      31      32      33      34      35      36    37 
1981  36  2 31  36  2 31 50 50   5   1   0    659      7  0.01 999999    5.48    4.94    2.33    0.04    2.10    1.01    0.03    0.27   373.6  -373.2   -13.7    10.4   5.00  149245.  1.40  -0.38   1.92   7.6   -6.43  -37.41   -3.96   14.09   -0.55   -0.34    96
1981  36  2 32  36  2 32 50 50   3   1   0    661      6  0.00     58    5.47    4.90    2.41   -0.25    2.29    0.78    0.01    0.17   373.6  -373.2   -13.7    10.4   5.00  149245.  1.40  -0.29   1.93   7.6   -6.43  -37.41   -3.96   14.12   -0.47   -0.45   124
1981  36  2 33  36  2 33 50 50   6   2   0    679     10  0.02     42    5.48    5.01    2.11   -0.47    2.11    0.45    0.03    0.34   369.9  -368.9   -23.8    14.0   4.39   79321.  1.20  -0.17   1.26   7.1   -6.42  -37.41   -3.97   14.24   -0.32   -0.45   142
1981  36  2 34  36  2 34 50 50   5   1   0    664      4  0.01     75    5.50    4.84    2.50   -0.61    2.53    0.48    0.04    0.12   371.0  -370.5   -18.1     7.8   4.47   77109.  1.23  -0.18   1.26   7.1   -6.41  -37.42   -3.97   14.10   -0.46   -0.38   206
1981  36  2 35  36  2 35 50 50   5   1   0    673      0  0.01     50    5.47    4.68    2.79    0.06    2.51    1.21    0.02    0.33   372.9  -372.3   -16.9    13.0   5.00  128063.  1.39  -0.45   1.78   7.6   -6.40  -37.42   -3.98   14.05   -0.49   -0.48   187
1981  36  3 24  36  3 24 50 50   4   2   0   1016     49  0.03     43    6.35   -0.20    2.22   -5.87    4.28   -4.59    0.14    0.92   393.0  -392.5   -15.8    12.1   3.78   39933.  1.17   1.80   0.66   6.0   -6.01  -37.52   -4.25   13.56   -0.48   -0.05    91
1981  36  3 25  36  3 25 50 50  12   1   0    950     90  0.03    126    6.18    3.67    2.58   -3.06    3.55   -1.86    0.14    2.90   370.4  -368.9   -16.8    28.4   4.30   30123.  1.18   0.69   0.74   6.2   -5.99  -37.52   -4.26   13.79   -0.56   -0.42    89
1981  36  3 26  36  3 26 50 50   6   2   0    974    104  0.02     35    6.17    3.75    2.52   -2.62    3.32   -1.47    0.15    3.26   390.8  -390.2   -15.7   -13.6   3.95   42993.  1.21   0.57   0.74   6.3   -6.02  -37.52   -4.24   13.48   -0.65   -0.64    88
1981  36  3 27  36  3 27 50 50   6   3   0    944     84  0.01     90    6.08    4.53    3.26   -2.28    3.88   -0.88    0.05    0.51   361.5  -360.4   -15.3   -10.2   5.01  128906.  1.31   0.32   1.45   6.7   -5.99  -37.52   -4.25   13.48   -0.80   -0.68    89
1981  36  3 28  36  3 28 50 50   3   1   0    908     22  0.05     95    6.05    4.13    3.71   -2.32    4.31   -0.75    0.07    0.28   372.3  -372.0    -2.6    13.6   4.30   81673.  1.19   0.28   1.03   6.4   -5.96  -37.53   -4.28   14.00   -1.00   -0.44    95
1981  36  3 31  36  3 31 50 50   5   1   0    884    110  0.10    133    6.07    5.05    3.05   -0.81    3.13    0.39    0.02    0.97   369.2  -368.8    -4.5    16.7   4.82   25599.  1.31  -0.14   0.84   6.7   -5.92  -37.54   -4.31   13.89   -0.87   -0.60   107
1981  36  3 32  36  3 32 50 50  16   4   0    907    100  0.08     37    6.07    5.26    2.84   -0.44    2.80    0.65    0.05    0.82   367.9  -365.8   -10.6    31.9   4.87   42931.  1.32  -0.24   0.94   6.7   -5.92  -37.54   -4.30   13.98   -0.78   -0.63   107
1981  36  3 33  36  3 33 50 50  13   2   0    875    126  0.11     91    6.14    5.26    2.93   -0.97    3.08    0.19    0.05    0.68   349.6  -349.2   -13.0   -11.0   6.57   97513.  1.61  -0.07   1.64   7.3   -5.94  -37.53   -4.29   13.82   -0.69   -0.97   107
1981  36  3 34  36  3 34 50 50   5   1   0    768      7  0.03    166    6.21    5.32    2.89   -1.31    3.17   -0.14    0.05    0.29   368.7  -365.7   -13.4    44.9   5.08   46394.  1.38   0.05   0.96   6.7   -5.89  -37.55   -4.33   13.72   -0.62   -1.69   110
1981  36  3 35  36  3 35 50 50   3   1   0    776      4  0.00     51    6.22    5.30    2.74   -1.74    3.19   -0.60    0.02    0.18   368.7  -365.7   -16.6    44.3   5.26   46394.  1.43   0.22   0.99   6.8   -5.88  -37.55   -4.33   13.59   -0.53   -1.65   110
1981  36  3 36  36  3 36 50 50   3   1   0    795      4  0.00     41    6.22    5.29    2.13   -2.44    2.88   -1.48    0.00    0.28   368.7  -365.7   -16.6    44.3   5.26   46394.  1.43   0.55   0.99   6.8   -5.88  -37.55   -4.33   13.45   -0.49   -1.50   118
1981  36  3 39  36  3 39 50 50   6   1   0    833      4  0.01     47    6.16    4.53    2.13   -3.54    3.28   -2.51    0.03    0.44   363.1  -362.8   -15.2     4.4   5.77   98082.  1.52   0.91   1.43   7.1   -5.85  -37.56   -4.35   13.30   -0.52   -0.48   118
1981  36  3 40  36  3 40 50 50   6   2   0    795     13  0.01     98    6.15    4.06    2.68   -3.74    3.86   -2.50    0.01    0.35   364.2  -363.9   -14.7     3.5   5.70   94577.  1.51   0.91   1.40   7.1   -5.85  -37.56   -4.35   13.30   -0.57   -0.08   127
1981  36  3 41  36  3 41 50 50  31  10  94    168    214  0.16    687    6.04    3.71    3.09   -3.59    4.19   -2.21    0.04    0.49   366.1  -366.0    -8.4     0.2   5.74   88109.  1.54   0.81   1.42   7.3   -5.74  -37.59   -4.43   13.26   -0.78   -0.09   127
1981  36  3 42  36  3 42 50 50  43   9  95    202    341  0.28     26    6.00    3.64    2.99   -3.64    4.11   -2.30    0.06    0.71   372.8  -372.6   -10.3     3.4   5.72   81633.  1.59   0.86   1.39   7.4   -5.73  -37.59   -4.44   13.20   -0.71   -0.15   134
1981  36  3 43  36  3 43 50 50  19   2  79    551    440  0.35   -289    6.09    3.83    3.03   -3.57    4.12   -2.22    0.05    0.68   367.4  -367.3    -7.7     0.0   5.34   80295.  1.44   0.82   1.25   7.0   -5.81  -37.57   -4.39   13.35   -0.75   -0.11   136
